"d1_code"	"d2_code"	"d1_name"	"d2_name"	"direction_yes_no"	"n_dir12"	"n_dir21"	"n_total"
"M75"	"D23"	"Shoulder lesions"	"Other benign neoplasms of skin"	1	971	1391	2362
"D62"	"I35"	"Acute posthemorrhagic anemia"	"Nonrheumatic aortic valve disorders"	1	709	1176	1885
"C16"	"I50"	"Malignant neoplasm of stomach"	"Heart failure"	1	277	461	738
"J22"	"M17"	"Unspecified acute lower respiratory infection"	"Osteoarthritis of knee"	1	6	569	575
"D68"	"N60"	"Other coagulation defects"	"Benign mammary dysplasia"	1	36	115	151
"I73"	"N81"	"Other peripheral vascular diseases"	"Female genital prolapse"	1	197	787	984
"M81"	"O72"	"Osteoporosis without current pathological fracture"	"Postpartum hemorrhage"	1	40	163	203
"O21"	"M41"	"Excessive vomiting in pregnancy"	"Scoliosis"	1	1	59	60
"G98"	"H10"	"Other disorders of nervous system not elsewhere classified"	"Conjunctivitis"	1	0	158	158
"G12"	"G64"	"Spinal muscular atrophy and related syndromes"	"Other disorders of peripheral nervous system"	1	16	61	77
"M48"	"N85"	"Other spondylopathies"	"Other noninflammatory disorders of uterus, except cervix"	1	16	136	152
"G20"	"D14"	"Parkinson's disease"	"Benign neoplasm of middle ear and respiratory system"	1	12	59	71
"I49"	"D48"	"Other cardiac arrhythmias"	"Neoplasm of uncertain behavior of other and unsp sites"	1	17	103	120
"C80"	"I48"	"Malignant neoplasm without specification of site"	"Atrial fibrillation and flutter"	1	241	625	866
"O48"	"O21"	"Late pregnancy"	"Excessive vomiting in pregnancy"	1	525	787	1312
"A54"	"O62"	"Gonococcal infection"	"Abnormalities of forces of labor"	1	3	78	81
"M18"	"O72"	"Osteoarthritis of first carpometacarpal joint"	"Postpartum hemorrhage"	1	5	64	69
"M10"	"G45"	"Gout"	"Transient cerebral ischemic attacks and related syndromes"	1	537	970	1507
"I42"	"H81"	"Cardiomyopathy"	"Disorders of vestibular function"	1	125	234	359
"J96"	"G60"	"Respiratory failure, not elsewhere classified"	"Hereditary and idiopathic neuropathy"	1	44	178	222
"C22"	"D69"	"Malignant neoplasm of liver and intrahepatic bile ducts"	"Purpura and other hemorrhagic conditions"	1	27	110	137
"M75"	"O02"	"Shoulder lesions"	"Other abnormal products of conception"	1	0	1198	1198
"G96"	"O26"	"Other disorders of central nervous system"	"Maternal care for oth conditions predom related to pregnancy"	1	0	249	249
"E11"	"C62"	"Type 2 diabetes mellitus"	"Malignant neoplasm of testis"	1	1	122	123
"M05"	"M65"	"Rheumatoid arthritis with rheumatoid factor"	"Synovitis and tenosynovitis"	1	441	820	1261
"K21"	"H80"	"Gastro-esophageal reflux disease"	"Otosclerosis"	1	45	230	275
"D43"	"I25"	"Neoplasm of uncertain behavior of brain and cnsl"	"Chronic ischemic heart disease"	1	103	236	339
"N95"	"I83"	"Menopausal and other perimenopausal disorders"	"Varicose veins of lower extremities"	1	536	1345	1881
"M85"	"N04"	"Other disorders of bone density and structure"	"Nephrotic syndrome"	1	8	76	84
"C50"	"H74"	"Malignant neoplasm of breast"	"Other disorders of middle ear mastoid"	1	4	35	39
"K30"	"O63"	"Functional dyspepsia"	"Long labor"	1	81	194	275
"K22"	"H65"	"Other diseases of esophagus"	"Nonsuppurative otitis media"	1	32	152	184
"C80"	"C20"	"Malignant neoplasm without specification of site"	"Malignant neoplasm of rectum"	1	43	201	244
"J91"	"K40"	"Pleural effusion in conditions classified elsewhere"	"Inguinal hernia"	1	28	429	457
"K59"	"D17"	"Other functional intestinal disorders"	"Benign lipomatous neoplasm"	1	433	1592	2025
"K21"	"D06"	"Gastro-esophageal reflux disease"	"Carcinoma in situ of cervix uteri"	1	0	79	79
"F06"	"H53"	"Other mental disorders due to known physiological condition"	"Visual disturbances"	1	68	142	210
"N64"	"N61"	"Other disorders of breast"	"Inflammatory disorders of breast"	1	424	678	1102
"M25"	"O00"	"Other joint disorder, not elsewhere classified"	"Ectopic pregnancy"	1	0	234	234
"C76"	"N92"	"Malignant neoplasm of other and ill-defined sites"	"Excessive, frequent and irregular menstruation"	1	15	86	101
"O61"	"O04"	"Failed induction of labor"	"Complications following (induced) termination of pregnancy"	1	35	280	315
"G40"	"I63"	"Epilepsy and recurrent seizures"	"Cerebral infarction"	1	5080	6750	11830
"M79"	"O01"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Hydatidiform mole"	1	4	39	43
"N83"	"L20"	"Noninflammatory disord of ovary, fallop and broad ligament"	"Atopic dermatitis"	1	36	147	183
"J06"	"O03"	"Acute upper resp infections of multiple and unsp sites"	"Spontaneous abortion"	1	0	234	234
"C44"	"O70"	"Other and unspecified malignant neoplasm of skin"	"Perineal laceration during delivery"	1	0	209	209
"L50"	"O82"	"Urticaria"	"Encounter for cesarean delivery without indication"	1	347	618	965
"I35"	"C32"	"Nonrheumatic aortic valve disorders"	"Malignant neoplasm of larynx"	1	24	99	123
"G25"	"M62"	"Other extrapyramidal and movement disorders"	"Other disorders of muscle"	1	42	321	363
"I35"	"N21"	"Nonrheumatic aortic valve disorders"	"Calculus of lower urinary tract"	1	60	181	241
"D27"	"O71"	"Benign neoplasm of ovary"	"Other obstetric trauma"	1	114	250	364
"D68"	"O14"	"Other coagulation defects"	"Pre-eclampsia"	1	113	493	606
"N99"	"D27"	"Intraop and postproc comp and disorders of GU sys, NEC"	"Benign neoplasm of ovary"	1	237	498	735
"J90"	"O03"	"Pleural effusion, not elsewhere classified"	"Spontaneous abortion"	1	0	34	34
"M19"	"H10"	"Other and unspecified osteoarthritis"	"Conjunctivitis"	1	35	1114	1149
"H25"	"D33"	"Age-related cataract"	"Benign neoplasm of brain and oth prt central nervous system"	1	160	407	567
"L02"	"J30"	"Cutaneous abscess, furuncle and carbuncle"	"Vasomotor and allergic rhinitis"	1	209	371	580
"G95"	"N20"	"Other and unspecified diseases of spinal cord"	"Calculus of kidney and ureter"	1	30	230	260
"B96"	"M17"	"Oth bacterial agents as the cause of diseases classd elswhr"	"Osteoarthritis of knee"	1	7	299	306
"M13"	"L03"	"Other arthritis"	"Cellulitis and acute lymphangitis"	1	175	485	660
"M48"	"M20"	"Other spondylopathies"	"Acquired deformities of fingers and toes"	1	416	1406	1822
"J18"	"M99"	"Pneumonia, unspecified organism"	"Biomechanical lesions, not elsewhere classified"	1	418	1078	1496
"J15"	"O41"	"Bacterial pneumonia, not elsewhere classified"	"Other disorders of amniotic fluid and membranes"	1	1	44	45
"K80"	"O42"	"Cholelithiasis"	"Premature rupture of membranes"	1	451	1975	2426
"C56"	"F10"	"Malignant neoplasm of ovary"	"Alcohol related disorders"	1	41	104	145
"I85"	"G56"	"Esophageal varices"	"Mononeuropathies of upper limb"	1	23	153	176
"I10"	"H50"	"Essential (primary) hypertension"	"Other strabismus"	1	523	986	1509
"I97"	"M51"	"Intraop and postproc comp and disorders of circ sys, NEC"	"Thoracic, thoracolum, and lumbosacral intvrt disc disorders"	1	18	113	131
"A46"	"O24"	"Erysipelas"	"Diabetes in pregnancy, childbirth, and the puerperium"	1	7	77	84
"L98"	"K57"	"Oth disorders of skin, subcu, not elsewhere classified"	"Diverticular disease of intestine"	1	506	707	1213
"J44"	"L71"	"Other chronic obstructive pulmonary disease"	"Rosacea"	1	60	160	220
"Q66"	"H65"	"Congenital deformities of feet"	"Nonsuppurative otitis media"	1	223	446	669
"K86"	"K85"	"Other diseases of pancreas"	"Acute pancreatitis"	1	2748	5831	8579
"J06"	"Q31"	"Acute upper resp infections of multiple and unsp sites"	"Congenital malformations of larynx"	1	54	143	197
"K43"	"K56"	"Ventral hernia"	"Paralytic ileus and intestinal obstruction without hernia"	1	2422	2924	5346
"K52"	"E10"	"Other and unsp noninfective gastroenteritis and colitis"	"Type 1 diabetes mellitus"	1	745	1794	2539
"M51"	"N60"	"Thoracic, thoracolum, and lumbosacral intvrt disc disorders"	"Benign mammary dysplasia"	1	489	907	1396
"G95"	"K44"	"Other and unspecified diseases of spinal cord"	"Diaphragmatic hernia"	1	43	209	252
"K59"	"H10"	"Other functional intestinal disorders"	"Conjunctivitis"	1	583	2088	2671
"M07"	"H20"	"Enteropathic arthropathies"	"Iridocyclitis"	1	44	110	154
"N18"	"H50"	"Chronic kidney disease (CKD)"	"Other strabismus"	1	13	170	183
"F95"	"H65"	"Tic disorder"	"Nonsuppurative otitis media"	1	0	129	129
"J44"	"F12"	"Other chronic obstructive pulmonary disease"	"Cannabis related disorders"	1	66	139	205
"M81"	"H50"	"Osteoporosis without current pathological fracture"	"Other strabismus"	1	85	398	483
"H52"	"D25"	"Disorders of refraction and accommodation"	"Leiomyoma of uterus"	1	229	487	716
"G20"	"I65"	"Parkinson's disease"	"Occls and stenosis of precerb art, not rslt in cereb infrc"	1	24	130	154
"F32"	"H93"	"Depressive episode"	"Other disorders of ear, not elsewhere classified"	1	213	1036	1249
"I20"	"L05"	"Angina pectoris"	"Pilonidal cyst and sinus"	1	63	281	344
"F03"	"D27"	"Unspecified dementia"	"Benign neoplasm of ovary"	1	0	243	243
"N39"	"H66"	"Other disorders of urinary system"	"Suppurative and unspecified otitis media"	1	182	1087	1269
"K52"	"I70"	"Other and unsp noninfective gastroenteritis and colitis"	"Atherosclerosis"	1	886	1545	2431
"I49"	"H33"	"Other cardiac arrhythmias"	"Retinal detachments and breaks"	1	163	367	530
"G44"	"H66"	"Other headache syndromes"	"Suppurative and unspecified otitis media"	1	0	281	281
"N20"	"O46"	"Calculus of kidney and ureter"	"Antepartum hemorrhage, not elsewhere classified"	1	53	149	202
"G30"	"I71"	"Alzheimer's disease"	"Aortic aneurysm and dissection"	1	53	219	272
"E11"	"J45"	"Type 2 diabetes mellitus"	"Asthma"	1	2756	4200	6956
"J18"	"G20"	"Pneumonia, unspecified organism"	"Parkinson's disease"	1	2571	4029	6600
"C76"	"H90"	"Malignant neoplasm of other and ill-defined sites"	"Conductive and sensorineural hearing loss"	1	19	81	100
"J84"	"M19"	"Other interstitial pulmonary diseases"	"Other and unspecified osteoarthritis"	1	169	390	559
"I21"	"M21"	"Acute myocardial infarction"	"Other acquired deformities of limbs"	1	254	484	738
"J47"	"O03"	"Bronchiectasis"	"Spontaneous abortion"	1	0	40	40
"M54"	"O04"	"Dorsalgia"	"Complications following (induced) termination of pregnancy"	1	0	7192	7192
"H81"	"O71"	"Disorders of vestibular function"	"Other obstetric trauma"	1	8	178	186
"H35"	"M22"	"Other retinal disorders"	"Disorder of patella"	1	0	212	212
"E87"	"N81"	"Other disorders of fluid, electrolyte and acid-base balance"	"Female genital prolapse"	1	0	1872	1872
"C79"	"C06"	"Secondary malignant neoplasm of other and unspecified sites"	"Malignant neoplasm of other and unspecified parts of mouth"	1	36	179	215
"N10"	"J20"	"Acute pyelonephritis"	"Acute bronchitis"	1	316	580	896
"O42"	"O04"	"Premature rupture of membranes"	"Complications following (induced) termination of pregnancy"	1	1423	4063	5486
"N20"	"J36"	"Calculus of kidney and ureter"	"Peritonsillar abscess"	1	44	183	227
"E66"	"O26"	"Overweight and obesity"	"Maternal care for oth conditions predom related to pregnancy"	1	4200	5440	9640
"A41"	"K27"	"Other sepsis"	"Peptic ulcer, site unspecified"	1	868	1127	1995
"K08"	"M17"	"Other disorders of teeth and supporting structures"	"Osteoarthritis of knee"	1	343	538	881
"H35"	"E05"	"Other retinal disorders"	"Thyrotoxicosis [hyperthyroidism]"	1	745	1302	2047
"K57"	"N83"	"Diverticular disease of intestine"	"Noninflammatory disord of ovary, fallop and broad ligament"	1	501	1402	1903
"G56"	"O32"	"Mononeuropathies of upper limb"	"Maternal care for malpresentation of fetus"	1	80	641	721
"M62"	"O71"	"Other disorders of muscle"	"Other obstetric trauma"	1	337	899	1236
"N39"	"A08"	"Other disorders of urinary system"	"Viral and other specified intestinal infections"	1	972	1407	2379
"C85"	"I20"	"Oth and unspecified types of non-Hodgkin lymphoma"	"Angina pectoris"	1	169	487	656
"M16"	"O36"	"Osteoarthritis of hip"	"Maternal care for other fetal problems"	1	0	97	97
"M19"	"O20"	"Other and unspecified osteoarthritis"	"Hemorrhage in early pregnancy"	1	0	217	217
"L89"	"M18"	"Pressure ulcer"	"Osteoarthritis of first carpometacarpal joint"	1	12	66	78
"D73"	"C91"	"Diseases of spleen"	"Lymphoid leukemia"	1	14	58	72
"M50"	"D24"	"Cervical disc disorders"	"Benign neoplasm of breast"	1	136	373	509
"K90"	"E10"	"Intestinal malabsorption"	"Type 1 diabetes mellitus"	1	176	627	803
"I82"	"H40"	"Other venous embolism and thrombosis"	"Glaucoma"	1	30	110	140
"I33"	"H93"	"Acute and subacute endocarditis"	"Other disorders of ear, not elsewhere classified"	1	9	78	87
"G35"	"M62"	"Multiple sclerosis"	"Other disorders of muscle"	1	164	301	465
"H91"	"N81"	"Other and unspecified hearing loss"	"Female genital prolapse"	1	2091	3476	5567
"J84"	"M48"	"Other interstitial pulmonary diseases"	"Other spondylopathies"	1	175	347	522
"K70"	"A15"	"Alcoholic liver disease"	"Respiratory tuberculosis"	1	49	144	193
"J91"	"K57"	"Pleural effusion in conditions classified elsewhere"	"Diverticular disease of intestine"	1	140	378	518
"I34"	"M16"	"Nonrheumatic mitral valve disorders"	"Osteoarthritis of hip"	1	308	990	1298
"D14"	"M22"	"Benign neoplasm of middle ear and respiratory system"	"Disorder of patella"	1	7	86	93
"H54"	"H33"	"Blindness and low vision"	"Retinal detachments and breaks"	1	222	608	830
"I25"	"N80"	"Chronic ischemic heart disease"	"Endometriosis"	1	23	169	192
"K02"	"A09"	"Dental caries"	"Infectious gastroenteritis and colitis, unspecified"	1	306	536	842
"I28"	"I10"	"Other diseases of pulmonary vessels"	"Essential (primary) hypertension"	1	67	153	220
"E46"	"I70"	"Unspecified protein-calorie malnutrition"	"Atherosclerosis"	1	28	117	145
"E86"	"M47"	"Volume depletion"	"Spondylosis"	1	0	3348	3348
"F17"	"N61"	"Nicotine dependence"	"Inflammatory disorders of breast"	1	98	246	344
"E61"	"C50"	"Deficiency of other nutrient elements"	"Malignant neoplasm of breast"	1	6	38	44
"M46"	"K51"	"Other inflammatory spondylopathies"	"Ulcerative colitis"	1	14	234	248
"K80"	"J35"	"Cholelithiasis"	"Chronic diseases of tonsils and adenoids"	1	0	1397	1397
"J81"	"C20"	"Pulmonary edema"	"Malignant neoplasm of rectum"	1	61	224	285
"I35"	"D05"	"Nonrheumatic aortic valve disorders"	"Carcinoma in situ of breast"	1	14	72	86
"C34"	"I97"	"Malignant neoplasm of bronchus and lung"	"Intraop and postproc comp and disorders of circ sys, NEC"	1	13	65	78
"D84"	"J12"	"Other immunodeficiencies"	"Viral pneumonia, not elsewhere classified"	1	34	117	151
"I49"	"O71"	"Other cardiac arrhythmias"	"Other obstetric trauma"	1	0	152	152
"O04"	"Q72"	"Complications following (induced) termination of pregnancy"	"Reduction defects of lower limb"	1	12	62	74
"D12"	"H90"	"Benign neoplasm of colon, rectum, anus and anal canal"	"Conductive and sensorineural hearing loss"	1	762	1559	2321
"D21"	"J20"	"Other benign neoplasms of connective and other soft tissue"	"Acute bronchitis"	1	15	78	93
"M80"	"N31"	"Osteoporosis with current pathological fracture"	"Neuromuscular dysfunction of bladder, NEC"	1	57	253	310
"A41"	"K85"	"Other sepsis"	"Acute pancreatitis"	1	1265	1943	3208
"J93"	"M51"	"Pneumothorax and air leak"	"Thoracic, thoracolum, and lumbosacral intvrt disc disorders"	1	132	404	536
"H11"	"O68"	"Other disorders of conjunctiva"	"Labor and delivery comp by abnlt of fetal acid-base balance"	1	32	123	155
"N18"	"G40"	"Chronic kidney disease (CKD)"	"Epilepsy and recurrent seizures"	1	382	884	1266
"I10"	"H52"	"Essential (primary) hypertension"	"Disorders of refraction and accommodation"	1	1161	2058	3219
"I69"	"C53"	"Sequelae of cerebrovascular disease"	"Malignant neoplasm of cervix uteri"	1	40	124	164
"C61"	"D14"	"Malignant neoplasm of prostate"	"Benign neoplasm of middle ear and respiratory system"	1	65	150	215
"B96"	"D30"	"Oth bacterial agents as the cause of diseases classd elswhr"	"Benign neoplasm of urinary organs"	1	8	54	62
"D25"	"J35"	"Leiomyoma of uterus"	"Chronic diseases of tonsils and adenoids"	1	19	329	348
"I31"	"M50"	"Other diseases of pericardium"	"Cervical disc disorders"	1	7	52	59
"J44"	"N64"	"Other chronic obstructive pulmonary disease"	"Other disorders of breast"	1	173	351	524
"L27"	"O62"	"Dermatitis due to substances taken internally"	"Abnormalities of forces of labor"	1	18	70	88
"I82"	"O68"	"Other venous embolism and thrombosis"	"Labor and delivery comp by abnlt of fetal acid-base balance"	1	21	116	137
"N19"	"N20"	"Unspecified kidney failure"	"Calculus of kidney and ureter"	1	278	961	1239
"J45"	"O20"	"Asthma"	"Hemorrhage in early pregnancy"	1	683	1104	1787
"M05"	"M06"	"Rheumatoid arthritis with rheumatoid factor"	"Other rheumatoid arthritis"	1	4500	5057	9557
"H60"	"H65"	"Otitis externa"	"Nonsuppurative otitis media"	1	803	1127	1930
"J15"	"C16"	"Bacterial pneumonia, not elsewhere classified"	"Malignant neoplasm of stomach"	1	268	440	708
"G90"	"K40"	"Disorders of autonomic nervous system"	"Inguinal hernia"	1	40	163	203
"K25"	"O36"	"Gastric ulcer"	"Maternal care for other fetal problems"	1	13	85	98
"F01"	"K80"	"Vascular dementia"	"Cholelithiasis"	1	35	388	423
"M67"	"M62"	"Other disorders of synovium and tendon"	"Other disorders of muscle"	1	961	1648	2609
"K08"	"C90"	"Other disorders of teeth and supporting structures"	"Multiple myeloma and malignant plasma cell neoplasms"	1	145	282	427
"E21"	"I25"	"Hyperparathyroidism and other disorders of parathyroid gland"	"Chronic ischemic heart disease"	1	583	967	1550
"D64"	"I34"	"Other anemias"	"Nonrheumatic mitral valve disorders"	1	1424	2138	3562
"M10"	"I25"	"Gout"	"Chronic ischemic heart disease"	1	2563	5031	7594
"L89"	"Q05"	"Pressure ulcer"	"Spina bifida"	1	1	83	84
"C43"	"J35"	"Malignant melanoma of skin"	"Chronic diseases of tonsils and adenoids"	1	1	92	93
"N92"	"J36"	"Excessive, frequent and irregular menstruation"	"Peritonsillar abscess"	1	52	302	354
"F17"	"M41"	"Nicotine dependence"	"Scoliosis"	1	29	166	195
"N18"	"H91"	"Chronic kidney disease (CKD)"	"Other and unspecified hearing loss"	1	0	5918	5918
"K83"	"M79"	"Other diseases of biliary tract"	"Oth and unsp soft tissue disorders, not elsewhere classified"	1	256	593	849
"H04"	"J20"	"Disorders of lacrimal system"	"Acute bronchitis"	1	64	154	218
"H25"	"M35"	"Age-related cataract"	"Other systemic involvement of connective tissue"	1	2824	3462	6286
"C18"	"M62"	"Malignant neoplasm of colon"	"Other disorders of muscle"	1	74	758	832
"N28"	"H36"	"Oth disorders of kidney and ureter, not elsewhere classified"	"Retinal disorders in diseases classified elsewhere"	1	39	374	413
"K92"	"C50"	"Other diseases of digestive system"	"Malignant neoplasm of breast"	1	240	1041	1281
"I21"	"L02"	"Acute myocardial infarction"	"Cutaneous abscess, furuncle and carbuncle"	1	1091	1602	2693
"G47"	"M17"	"Sleep disorders"	"Osteoarthritis of knee"	1	1386	3481	4867
"E86"	"E89"	"Volume depletion"	"Postproc endocrine and metabolic comp and disorders, NEC"	1	221	438	659
"J15"	"Q07"	"Bacterial pneumonia, not elsewhere classified"	"Other congenital malformations of nervous system"	1	8	45	53
"A09"	"K25"	"Infectious gastroenteritis and colitis, unspecified"	"Gastric ulcer"	1	1368	1667	3035
"I50"	"H25"	"Heart failure"	"Age-related cataract"	1	0	33961	33961
"C83"	"I83"	"Non-follicular lymphoma"	"Varicose veins of lower extremities"	1	25	213	238
